epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
0;25201.244;25201.244;26155.935;27073.146;26101.278;27073.146;667.343;35.652;47.235;.000;.000
1;15681.402;15681.402;17653.356;19051.161;17724.138;19051.161;978.619;35.240;46.114;.000;.000
2;12896.044;12896.044;13801.015;14041.747;13687.794;14041.747;340.653;34.953;46.355;.000;.000
3;10887.668;10887.668;11718.710;12403.200;11653.623;12403.200;554.814;35.145;46.704;.000;.000
4;10210.303;10210.303;10642.800;11608.565;10765.298;11608.565;459.993;34.162;45.918;.000;.000
5;9338.584;9338.584;10097.692;10576.926;10036.054;10576.926;400.684;33.400;45.713;.000;.000
6;9338.584;9338.584;9818.432;10131.714;9766.976;10131.714;221.968;31.887;45.518;.000;.000
7;8834.679;8834.679;9754.561;9947.042;9553.316;9947.042;343.145;31.809;45.976;.000;.000
8;8532.945;8532.945;9058.291;9601.947;9101.911;9601.947;340.055;30.483;45.214;.000;.000
9;8532.945;8532.945;8963.866;9475.296;8971.010;9475.296;286.876;30.667;45.280;.000;.000
10;8469.716;8469.716;8754.243;9414.204;8816.836;9414.204;299.186;28.277;44.783;.000;.000
11;8337.815;8337.815;8731.008;9068.497;8655.353;9068.497;267.907;27.581;45.334;.000;.000
12;8029.424;8029.424;8597.532;9068.497;8565.469;9068.497;282.013;26.137;44.796;.000;.000
13;8029.424;8029.424;8574.660;9068.497;8556.599;9068.497;278.806;24.409;44.483;.000;.000
14;8029.424;8029.424;8466.217;8751.406;8442.879;8751.406;210.968;23.502;43.799;.000;.000
15;8029.424;8029.424;8410.432;8751.406;8378.602;8751.406;201.260;21.775;42.859;.000;.000
16;8015.745;8015.745;8410.432;8751.406;8352.131;8751.406;223.697;20.941;41.543;.000;.000
17;7931.254;7931.254;8363.449;8540.066;8271.480;8540.066;202.581;17.502;38.660;.000;.000
18;7931.254;7931.254;8294.612;8540.066;8236.231;8540.066;193.899;17.537;38.578;.000;.000
19;7901.878;7901.878;8260.845;8540.066;8222.646;8540.066;196.106;16.010;35.451;.000;.000
20;7901.878;7901.878;8208.427;8447.447;8174.879;8447.447;160.089;15.429;32.921;.000;.000
21;7901.878;7901.878;8208.427;8447.447;8174.879;8447.447;160.089;16.914;31.563;.000;.000
22;7901.878;7901.878;8165.341;8447.447;8166.684;8447.447;155.759;16.765;30.289;.000;.000
23;7901.878;7901.878;8155.733;8447.447;8140.703;8447.447;141.640;14.760;31.375;.000;.000
24;7901.878;7901.878;8155.733;8447.447;8140.703;8447.447;141.640;12.993;28.524;.000;.000
25;7901.878;7901.878;8115.819;8447.447;8135.274;8447.447;142.040;15.370;28.526;.000;.000
26;7867.199;7867.199;8115.819;8447.447;8124.581;8447.447;151.742;16.135;28.659;.000;.000
27;7867.199;7867.199;8115.819;8447.447;8117.895;8447.447;151.386;16.691;30.888;.000;.000
28;7865.167;7865.167;8115.819;8427.666;8110.161;8427.666;149.496;17.490;29.219;.000;.000
29;7865.167;7865.167;8115.819;8427.666;8110.145;8427.666;149.490;15.199;27.425;.000;.000
30;7865.167;7865.167;8099.855;8388.232;8101.323;8388.232;140.904;15.721;30.110;.000;.000
31;7865.167;7865.167;8099.855;8345.116;8088.378;8345.116;138.018;18.186;29.585;.000;.000
32;7736.051;7736.051;8099.855;8306.571;8071.612;8306.571;157.985;16.971;31.086;.000;.000
33;7736.051;7736.051;8043.655;8306.571;8059.275;8306.571;157.862;18.566;31.216;.000;.000
34;7736.051;7736.051;8043.655;8306.571;8054.012;8306.571;159.741;18.554;29.233;.000;.000
35;7736.051;7736.051;8037.188;8306.571;8049.239;8306.571;156.158;19.789;30.494;.000;.000
36;7736.051;7736.051;8037.188;8166.101;8029.756;8166.101;130.537;17.277;31.649;.000;.000
37;7736.051;7736.051;8037.188;8166.101;8029.756;8166.101;130.537;15.549;29.468;.000;.000
38;7736.051;7736.051;8037.188;8166.101;8029.756;8166.101;130.537;18.500;27.996;.000;.000
39;7736.051;7736.051;8037.188;8166.101;8029.189;8166.101;129.938;17.640;29.945;.000;.000
40;7736.051;7736.051;8037.188;8166.101;8028.290;8166.101;130.341;14.103;27.495;.000;.000
41;7736.051;7736.051;8034.840;8150.471;8018.417;8150.471;127.630;16.657;31.383;.000;.000
