epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
0;25201.244;25201.244;26155.935;27073.146;26101.278;27073.146;667.343;34.971;46.205;.000;.000
1;23179.493;23179.493;24928.262;25259.554;24493.548;25259.554;775.533;35.150;47.381;.000;.000
2;22544.125;22544.125;24008.332;24834.657;23682.475;24834.657;760.874;33.934;46.129;.000;.000
3;21487.031;21487.031;23120.262;24555.384;23020.487;24555.384;845.001;33.664;45.536;.000;.000
4;21310.771;21310.771;22664.101;23369.245;22398.312;23369.245;690.411;33.615;46.269;.000;.000
5;21046.386;21046.386;22030.399;22444.852;21795.491;22444.852;498.804;32.659;45.325;.000;.000
6;20441.553;20441.553;21156.301;22418.608;21327.409;22418.608;661.015;32.551;45.850;.000;.000
7;20218.733;20218.733;20943.097;21904.803;21001.868;21904.803;564.644;31.730;44.073;.000;.000
8;19415.322;19415.322;20588.340;21855.454;20675.914;21855.454;829.602;32.336;45.380;.000;.000
9;18828.550;18828.550;20415.836;21855.454;20372.672;21855.454;971.996;31.255;44.935;.000;.000
10;18828.550;18828.550;20075.578;21172.408;20059.009;21172.408;749.355;30.676;43.999;.000;.000
11;18828.550;18828.550;20052.936;20998.074;19916.627;20998.074;771.240;30.216;43.671;.000;.000
12;18371.710;18371.710;19818.970;20855.470;19750.120;20855.470;843.602;29.086;43.244;.000;.000
13;17429.891;17429.891;19477.763;20855.470;19455.787;20855.470;999.529;27.542;42.416;.000;.000
14;17429.891;17429.891;19254.504;20699.204;19179.658;20699.204;881.441;27.676;42.408;.000;.000
15;17429.891;17429.891;19141.093;19894.461;18963.291;19894.461;754.851;27.123;41.628;.000;.000
16;17317.831;17317.831;19141.093;19894.461;18850.409;19894.461;761.800;26.591;41.180;.000;.000
17;17060.179;17060.179;18421.614;19802.326;18498.779;19802.326;931.679;26.919;41.103;.000;.000
18;16515.332;16515.332;18310.981;19422.314;17995.451;19422.314;1165.982;26.132;40.483;.000;.000
19;16515.332;16515.332;18310.981;19103.293;17905.113;19103.293;1071.166;26.132;41.723;.000;.000
20;16356.085;16356.085;17900.042;19096.650;17765.901;19096.650;1012.156;25.870;41.121;.000;.000
21;16155.586;16155.586;17900.042;19096.650;17629.651;19096.650;981.701;26.493;41.131;.000;.000
22;16076.232;16076.232;17900.042;18727.809;17570.489;18727.809;958.955;25.968;40.195;.000;.000
23;16076.232;16076.232;17721.668;18524.021;17341.433;18524.021;884.868;25.517;39.195;.000;.000
24;15088.473;15088.473;17551.177;18485.267;17144.851;18485.267;1114.935;24.270;39.056;.000;.000
25;15088.473;15088.473;17551.177;18150.103;17053.916;18150.103;1038.886;24.377;39.750;.000;.000
26;15088.473;15088.473;17202.738;18150.103;16897.141;18150.103;951.155;23.554;39.335;.000;.000
27;15088.473;15088.473;17003.833;17862.674;16703.825;17862.674;823.851;24.520;40.003;.000;.000
28;15088.473;15088.473;16931.950;17448.556;16579.503;17448.556;726.031;24.059;39.071;.000;.000
29;15088.473;15088.473;16578.144;17201.723;16492.361;17201.723;659.262;23.733;38.751;.000;.000
30;15088.473;15088.473;16578.144;17201.723;16470.963;17201.723;663.272;24.586;38.883;.000;.000
31;15088.473;15088.473;16578.144;17003.833;16404.677;17003.833;625.257;25.370;39.193;.000;.000
32;14800.530;14800.530;16542.652;17003.833;16276.539;17003.833;671.657;25.529;39.589;.000;.000
33;14800.530;14800.530;16226.186;17003.833;16169.234;17003.833;665.206;24.919;38.818;.000;.000
